,Size,Ambientes,Address,Neighborhood,City,Rent
184,184, 4 ambs. , Libertad al 1600 ,Recoleta, Capital Federal ,2700
185,60, 3 ambs. , av de los Incas 4400 ,Coghlan, Capital Federal ,25000
186,85, 3 ambs. , CERVIÑO al 4700 ,Palermo, Capital Federal ,100000
187,60, 3 ambs. , Av Dorrego al 2600 ,Palermo, Capital Federal ,35000
188,120, 3 ambs. , Av. Corrientes 5300 ,Villa Crespo, Capital Federal ,45000
189,150, 5 ambs. , Av. Alvear al 1400 ,Recoleta, Capital Federal ,1100
190,170, 3 ambs. , Ugarteche 2910 ,Recoleta, Capital Federal ,1500
191,100, 4 ambs. , Av. Callao al 1600 ,Recoleta, Capital Federal ,62500
192,79, 3 ambs. , Guatemala 5648 ,Palermo, Capital Federal ,85000
193,100, 4 ambs. , FIGUEROA ALCORTA PRES. AV. 3000 9,Palermo, Capital Federal ,1300
194,123, 3 ambs. , Camila O'GORMAN al al 300 ,Puerto Madero, Capital Federal ,89000
195,85, 3 ambs. , Vuelta de Obligado al 4600 ,Núñez, Capital Federal ,34000
196,75, 3 ambs. , Juan B Justo al 1000 ,Palermo, Capital Federal ,1200
197,128, 3 ambs. , Azucena Villaflor 550 ,Puerto Madero, Capital Federal ,2700
198,100, 3 ambs. , Republica Arabe Siria al 3300 ,Palermo, Capital Federal ,60000
199,125, 4 ambs. , Libertador al 1100 ,Recoleta, Capital Federal ,58000
200,70, 3 ambs. , AV Cramer al 1700 ,Belgrano, Capital Federal ,1500
201,70, 3 ambs. , Paraguay al 800 ,Retiro, Capital Federal ,24000
202,170, 3 ambs. , Sinclair al 3200 ,Palermo, Capital Federal ,2500
203,90, 3 ambs. , Virrey Arredondo al 2200 ,Belgrano, Capital Federal ,47000
204,65, 3 ambs. , Av Libertador al 6700 ,Núñez, Capital Federal ,45000
205,160, 3 ambs. , Cerrito al 1100 ,Recoleta, Capital Federal ,2200
206,125, 3 ambs. , Aimé Painé al 1100 ,Puerto Madero, Capital Federal ,5000
207,115, 3 ambs. , Torre Art María Este ,Puerto Madero, Capital Federal ,100000
208,120, 3 ambs. , Cerviño al 4600 ,Palermo, Capital Federal ,3900
209,190, 4 ambs. , Copernico al 2300 ,Recoleta, Capital Federal ,2500
210,90, 3 ambs. , Juana Manso 1351 ,Puerto Madero, Capital Federal ,1600
211,140, 3 ambs. , Pueyrredon al 2400 ,Recoleta, Capital Federal ,45000
212,182, 5 ambs. , Juez Tedin al 3000 ,Palermo, Capital Federal ,2000
213,110, 3 ambs. , CAVIA 3000 12,Palermo, Capital Federal ,75000
214,81, 3 ambs. , Boulonge Sur Mer 400 ,Once, Capital Federal ,30000
215,130, 4 ambs. , Paraná al 1100 ,Recoleta, Capital Federal ,65000
216,130, 3 ambs. , julieta lanteri al 1300 ,Puerto Madero, Capital Federal ,3000
217,165, 3 ambs. , Madero Plaza Juana Manso al 1500 ,Puerto Madero, Capital Federal ,150000
218,105, 5 ambs. , Av. Alvear al 1700 ,Recoleta, Capital Federal ,63000
219,120, 3 ambs. , Mendoza 955 ,Belgrano, Capital Federal ,900
220,60, 3 ambs. , 11 de Septiembre 1630 ,Belgrano, Capital Federal ,32000
221,75, 3 ambs. , Humboldt al 2000 ,Palermo, Capital Federal ,2200
222,184, 4 ambs. , Macacha güemes al 300 ,Puerto Madero, Capital Federal ,3100
223,90, 3 ambs. , Virrey del Pino al 2100 ,Belgrano, Capital Federal ,2000
224,210, 3 ambs. , COPERNICO al 2300 ,Recoleta, Capital Federal ,2000
225,91, 3 ambs. , Güemes 3355 ,Palermo, Capital Federal ,2200
226,80, 3 ambs. , Azucena Villaflor al 400 ,Puerto Madero, Capital Federal ,1000
227,120, 3 ambs. , Parera al 100 ,Recoleta, Capital Federal ,80000
228,200, 3 ambs. , Sinclair 3200 ,Palermo, Capital Federal ,2500
229,77, 3 ambs. , Aime Paine al 1600 ,Puerto Madero, Capital Federal ,1150
230,130, 3 ambs. , Aime Paine al 1100 ,Puerto Madero, Capital Federal ,3000
231,254, 4 ambs. , Florida al 1000 ,Retiro, Capital Federal ,2500
232,89, 3 ambs. , Quintana al 400 ,Recoleta, Capital Federal ,40000
233,128, 3 ambs. , Arroyo al 800 ,Retiro, Capital Federal ,1250
234,184, 5 ambs. , Av. Figueroa Alcorta al 3000 ,Palermo, Capital Federal ,3500
235,191, 3 ambs. , Julieta Lanteri al 1200 ,Puerto Madero, Capital Federal ,3500
236,118, 3 ambs. , Juana Manso al 100 ,Puerto Madero, Capital Federal ,2100
237,70, 3 ambs. , Dorrego al 2200 ,Palermo, Capital Federal ,42000
238,59, 3 ambs. , Av. Luis Maria Campos al 400 ,Palermo, Capital Federal ,48000
239,68, 3 ambs. , Beruti al 3500 ,Palermo, Capital Federal ,55000
240,76, 3 ambs. , Uriarte 2300 ,Palermo, Capital Federal ,1100
241,76, 3 ambs. , ALQUILER DEPTO. RETIRO 3 AMB + DEPENDENCIA C/BAÑO. ,Retiro, Capital Federal ,28000
242,63, 3 ambs. , Demaria al 4500 ,Palermo, Capital Federal ,1100
243,169, 4 ambs. , Sinclair al 3200 ,Palermo, Capital Federal ,3000
244,130, 3 ambs. , Oro al 2800 ,Palermo, Capital Federal ,3700
245,197, 4 ambs. , Trinidad Guevara al 300 ,Puerto Madero, Capital Federal ,4500
246,125, 3 ambs. , AV DEL LIBERTADOR al 2400 ,Palermo, Capital Federal ,2500
247,160, 3 ambs. , Cerrito 1100 ,Recoleta, Capital Federal ,2100
