Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Villa del Parque,-34.6047975,-58.4938209,Solera Del Parque,-34.60429380797334,-58.49311444116632,Pizza Place
Villa del Parque,-34.6047975,-58.4938209,Farmacity,-34.60096272861149,-58.49560272147035,Pharmacy
Villa del Parque,-34.6047975,-58.4938209,The Coffee Store,-34.60234031295117,-58.49451541900634,Coffee Shop
Villa del Parque,-34.6047975,-58.4938209,Gimnasio Racing Club,-34.60255225779187,-58.491597175598145,Gym
Villa del Parque,-34.6047975,-58.4938209,Plazoleta Jorge N. Williams,-34.60087703708418,-58.49402457475662,Plaza
Villa del Parque,-34.6047975,-58.4938209,Canchas Santo Tomé,-34.6056137984407,-58.48880239174731,Soccer Field
Villa del Parque,-34.6047975,-58.4938209,Gerbo Sport,-34.6005774450553,-58.49400545568239,Gym
Almagro,-34.6099883,-58.4222331,El Baquiano - Fiambrería,-34.610394772696836,-58.421247692005515,Gourmet Shop
Almagro,-34.6099883,-58.4222331,Las Violetas,-34.61127486820083,-58.421056913363,Coffee Shop
Almagro,-34.6099883,-58.4222331,Sr. Duncan,-34.61143922775472,-58.420095892286405,Bar
Almagro,-34.6099883,-58.4222331,El Boliche de Roberto,-34.60693236900987,-58.418658578169904,Bar
Almagro,-34.6099883,-58.4222331,El Patio de Mingo,-34.609926731811065,-58.42265160593372,Argentinian Restaurant
Almagro,-34.6099883,-58.4222331,G-104,-34.611052138484446,-58.42491286375251,Concert Hall
Almagro,-34.6099883,-58.4222331,Los Orientales,-34.611945868443286,-58.422121583735205,Argentinian Restaurant
Almagro,-34.6099883,-58.4222331,El Fuelle,-34.609878061962114,-58.42121548550289,Pizza Place
Almagro,-34.6099883,-58.4222331,Tribeca Studios Flat,-34.610543606864596,-58.42725210202991,Hotel
Almagro,-34.6099883,-58.4222331,Gala gym,-34.6119235587726,-58.42308456820677,Gym
Almagro,-34.6099883,-58.4222331,Cremolatti,-34.61148309403639,-58.4210394118435,Ice Cream Shop
Almagro,-34.6099883,-58.4222331,Grido,-34.60855784880575,-58.42301373997932,Ice Cream Shop
Almagro,-34.6099883,-58.4222331,El Puente,-34.611025283732054,-58.418475693277436,Cheese Shop
Almagro,-34.6099883,-58.4222331,La Blanquita,-34.60675173890826,-58.41869489417446,Argentinian Restaurant
Almagro,-34.6099883,-58.4222331,Lo de Fran,-34.60720607690748,-58.42001974582672,BBQ Joint
Almagro,-34.6099883,-58.4222331,The Rozz,-34.60907294504861,-58.42140142183741,Pizza Place
Almagro,-34.6099883,-58.4222331,Heladería Malibú,-34.61327061164929,-58.42507427990736,Dessert Shop
Almagro,-34.6099883,-58.4222331,Toñito,-34.608433480744715,-58.424650696916174,Argentinian Restaurant
Almagro,-34.6099883,-58.4222331,Hobbs,-34.61256603490825,-58.42371582984924,Italian Restaurant
Almagro,-34.6099883,-58.4222331,Subway,-34.61114545571001,-58.421188065039004,Sandwich Place
Almagro,-34.6099883,-58.4222331,Medialunas del abuelo,-34.607687420500085,-58.42145787390698,Bakery
Almagro,-34.6099883,-58.4222331,Helados Dumbo,-34.61165231671195,-58.42132339578732,Ice Cream Shop
Almagro,-34.6099883,-58.4222331,Havanna,-34.611218813206236,-58.42009297983823,Café
Almagro,-34.6099883,-58.4222331,The Taco Box,-34.607228,-58.421322,Mexican Restaurant
Almagro,-34.6099883,-58.4222331,La Juvenil,-34.61098,-58.41898,Italian Restaurant
Almagro,-34.6099883,-58.4222331,Acatraz,-34.611027579882865,-58.417695243452826,Bar
Almagro,-34.6099883,-58.4222331,Murillo,-34.61095445797399,-58.41975486603663,Argentinian Restaurant
Almagro,-34.6099883,-58.4222331,Le Bohème,-34.61134628669988,-58.420827374289374,Bar
Almagro,-34.6099883,-58.4222331,FelFort,-34.60785617558603,-58.424572769371544,Factory
